peak_id,phylum_score,class_score,order_score,family_score,genus_score
1181932,0.25,0.25,0.25,0.0,0.0
755984,0.09,0.04,0.04,0.0,0.0
1181969,0.33,0.33,0.33,0.0,0.0
1222933,0.5,0.5,0.5,0.0,0.0
1288470,1.0,1.0,1.0,0.0,0.0
1272098,0.09,0.02,0.02,0.0,0.0
641314,0.1,0.1,0.1,0.0,0.0
1362220,0.5,0.5,0.5,0.0,0.0
665930,0.03,0.02,0.02,0.0,0.0
1337679,0.5,0.5,0.5,0.0,0.0
1313126,0.5,0.5,0.5,0.0,0.0
657775,,,,,
739701,0.09,0.09,0.09,0.0,0.0
1182075,0.31,0.15,0.15,0.0,0.0
616829,0.06,0.05,0.05,0.0,0.0
1337736,0.33,0.33,0.33,0.0,0.0
1255817,0.5,0.5,0.5,0.0,0.0
1362323,0.33,0.33,0.33,0.0,0.0
879004,0.06,0.06,0.06,0.0,0.0
838058,0.18,0.12,0.12,0.0,0.0
1149362,0.08,0.05,0.05,0.0,0.0
756157,0.1,0.04,0.04,0.0,0.0
108991,0.07,0.07,0.07,0.0,0.0
1149387,0.08,0.03,0.03,0.0,0.0
1165770,0.11,0.04,0.04,0.0,0.0
1337808,1.0,1.0,1.0,0.0,0.0
1182167,0.0,0.0,0.0,0.0,0.0
1223152,,,,,
1337846,1.0,1.0,1.0,0.0,0.0
1231372,0.4,0.2,0.2,0.0,0.0
707086,0.11,0.05,0.05,0.02,0.02
1255952,0.25,0.0,0.0,0.0,0.0
1354265,1.0,0.5,0.5,0.0,0.0
1337883,0.0,0.0,0.0,0.0,0.0
1337884,,,,,
731687,0.11,0.06,0.06,0.0,0.0
1255976,0.17,0.0,0.0,0.0,0.0
1255978,0.0,0.0,0.0,0.0,0.0
1337905,,,,,
1133117,0.25,0.25,0.25,0.0,0.0
617025,0.5,0.5,0.5,0.0,0.0
805450,0.16,0.04,0.04,0.0,0.0
1149518,0.17,0.17,0.17,0.0,0.0
1231439,0.16,0.08,0.08,0.0,0.0
1133142,0.2,0.2,0.2,0.0,0.0
1149527,0.5,0.5,0.5,0.0,0.0
731739,0.2,0.11,0.11,0.0,0.0
117344,0.11,0.11,0.11,0.0,0.0
240239,1.0,1.0,1.0,0.0,0.0
682618,,,,,
1337990,0.1,0.04,0.04,0.0,0.0
625289,0.2,0.0,0.0,0.0,0.0
1338000,,,,,
1198738,1.0,1.0,1.0,0.0,0.0
1338012,1.0,1.0,1.0,0.0,0.0
1338023,,,,,
92862,,,,,
1198788,0.5,0.5,0.5,0.0,0.0
903878,0.22,0.04,0.04,0.0,0.0
977608,0.04,0.02,0.02,0.0,0.0
707273,,,,,
707272,,,,,
1223381,0.08,0.03,0.03,0.0,0.0
649965,0.09,0.03,0.03,0.02,0.0
92910,0.08,0.03,0.03,0.0,0.0
1338097,,,,,
1067764,0.09,0.04,0.04,0.0,0.0
1198852,1.0,1.0,1.0,0.0,0.0
1288965,0.1,0.1,0.1,0.0,0.0
1215265,0.5,0.0,0.0,0.0,0.0
1157922,0.06,0.03,0.03,0.0,0.0
699180,,,,,
1321774,,,,,
740141,0.09,0.07,0.07,0.0,0.0
699181,,,,,
92975,0.0,0.0,0.0,0.0,0.0
1198910,0.42,0.17,0.17,0.0,0.0
109375,0.83,0.65,0.65,0.04,0.04
904004,0.04,0.0,0.0,0.0,0.0
1338190,0.0,0.0,0.0,0.0,0.0
617336,0.07,0.05,0.05,0.0,0.0
117660,0.5,0.5,0.5,0.0,0.0
682919,0.02,0.02,0.02,0.0,0.0
1338282,0.0,0.0,0.0,0.0,0.0
658350,0.06,0.06,0.06,0.0,0.0
109528,0.17,0.13,0.13,0.0,0.0
76762,0.06,0.06,0.06,0.0,0.0
